instance_hash,config_hash_toml,instance_data_file,scenarios,aggregation_criterion,first_stage_weight_proportion,queue_length,one_scenario_strategy,cumulative_sum_objective_first_stage_earliest,cumulative_sum_objective_first_stage_treatment_range,cumulative_sum_objective_first_stage,mean_gap,kpi_waiting_times,kpi_count_violated,difference_to_deterministic,kpi_diff_wt,kpi_diff_cv
15681825288749210743,5500649017579856789,simulations/instances/instance_15681825288749210743.csv,0,AVG,0.8,LIMITED,AVERAGE_SCENARIO,78400.0,1768600.0,1847000.0,0.0,12,0,0.0,0.0,
7465116319130191447,2583494035036797610,simulations/instances/instance_7465116319130191447.csv,2,MAX,0.8,LIMITED,EARLIEST,52800.0,1781000.0,1833800.0,0.7761102114075948,5,2,0.2624384909786769,150.0,inf
7465116319130191447,2583494035036797610,simulations/instances/instance_7465116319130191447.csv,2,MAX,0.8,LIMITED,EARLIEST,52800.0,1781000.0,1833800.0,0.7761102114075948,5,2,0.2624384909786769,150.0,inf
2192742545724921127,15781378671745116058,simulations/instances/instance_2192742545724921127.csv,10,MAX,0.8,LIMITED,AVERAGE_SCENARIO,107200.0,1928400.0,2035600.0,19.933879144352364,23,28,-0.009824147755182238,-23.333333333333332,1300.0
2192742545724921127,15781378671745116058,simulations/instances/instance_2192742545724921127.csv,10,MAX,0.8,LIMITED,AVERAGE_SCENARIO,107200.0,1928400.0,2035600.0,19.933879144352364,23,28,-0.009824147755182238,-23.333333333333332,1300.0
2775139937030573620,16463340470522269059,simulations/instances/instance_2775139937030573620.csv,2,MAX,0.8,LIMITED,AVERAGE_SCENARIO,81600.0,1935400.0,2017000.0,3.0470692191558784,25,5,0.28838504375497215,38.88888888888889,0.0
2775139937030573620,16463340470522269059,simulations/instances/instance_2775139937030573620.csv,2,MAX,0.8,LIMITED,AVERAGE_SCENARIO,81600.0,1935400.0,2017000.0,3.0470692191558784,25,5,0.28838504375497215,38.88888888888889,0.0
2192742545724921127,1355355606340810667,simulations/instances/instance_2192742545724921127.csv,5,AVG,0.8,LIMITED,AVERAGE_SCENARIO,110800.0,1929200.0,2040000.0,12.282496062307752,29,22,0.20630710285882697,-3.3333333333333335,1000.0
2192742545724921127,1355355606340810667,simulations/instances/instance_2192742545724921127.csv,5,AVG,0.8,LIMITED,AVERAGE_SCENARIO,110800.0,1929200.0,2040000.0,12.282496062307752,29,22,0.20630710285882697,-3.3333333333333335,1000.0
9707043526940373274,5719991848330576368,simulations/instances/instance_9707043526940373274.csv,1,AVG,0.8,LIMITED,EARLIEST,54800.0,1611200.0,1666000.0,0.41836594992361675,7,0,-1.1393306432470922,-46.15384615384615,
9707043526940373274,5719991848330576368,simulations/instances/instance_9707043526940373274.csv,1,AVG,0.8,LIMITED,EARLIEST,54800.0,1611200.0,1666000.0,0.41836594992361675,7,0,-1.1393306432470922,-46.15384615384615,
10987222697483944105,5882577267871090792,simulations/instances/instance_10987222697483944105.csv,2,AVG,0.8,LIMITED,AVERAGE_SCENARIO,78000.0,1686800.0,1764800.0,1.932922657286299,13,3,-0.5634437683119224,-43.47826086956522,-50.0
10987222697483944105,5882577267871090792,simulations/instances/instance_10987222697483944105.csv,2,AVG,0.8,LIMITED,AVERAGE_SCENARIO,78000.0,1686800.0,1764800.0,1.932922657286299,13,3,-0.5634437683119224,-43.47826086956522,-50.0
7465116319130191447,14044813691835146100,simulations/instances/instance_7465116319130191447.csv,1,MAX,0.8,LIMITED,EARLIEST,49200.0,1780800.0,1830000.0,0.21600447935855951,3,1,0.054674685620557675,50.0,inf
7465116319130191447,14044813691835146100,simulations/instances/instance_7465116319130191447.csv,1,MAX,0.8,LIMITED,EARLIEST,49200.0,1780800.0,1830000.0,0.21600447935855951,3,1,0.054674685620557675,50.0,inf
135224002065681560,1478496326830257986,simulations/instances/instance_135224002065681560.csv,2,MAX,0.8,LIMITED,EARLIEST,47200.0,1658200.0,1705400.0,1.2310303823377398,6,1,0.05867167331612298,50.0,inf
135224002065681560,1478496326830257986,simulations/instances/instance_135224002065681560.csv,2,MAX,0.8,LIMITED,EARLIEST,47200.0,1658200.0,1705400.0,1.2310303823377398,6,1,0.05867167331612298,50.0,inf
9707043526940373274,6102092210408676126,simulations/instances/instance_9707043526940373274.csv,2,AVG,0.8,LIMITED,EARLIEST,74400.0,1611800.0,1686200.0,1.9698271223494068,13,0,0.059340137669119386,0.0,
9707043526940373274,6102092210408676126,simulations/instances/instance_9707043526940373274.csv,2,AVG,0.8,LIMITED,EARLIEST,74400.0,1611800.0,1686200.0,1.9698271223494068,13,0,0.059340137669119386,0.0,
